region,key,value
Africa,EGYPT,12
Africa,MAURITIUS,220
Africa,MOROCCO,158
Africa,SOUTH AFRICA,5399
Africa,TUNISIA,104
Asia,CHINA,12674
Asia,INDIA,132014
Asia,India,4520
Asia,INDONESIA,37896
Asia,JAPAN,91760
Asia,KAZAKHSTAN,140
Asia,MALAYSIA,12729
Asia,NEPAL,144
Asia,PHILIPPINES,16440
Asia,SAUDI ARABIA,120
Asia,Singapore,263
Asia,SINGAPORE,9415
Asia,SRI LANKA,123
Asia,Thailand,463
Asia,THAILAND,12506
Asia,TURKEY,185
Europe,ANDORRA,269
Europe,AUSTRIA,10763
Europe,Austria,438
Europe,BELGIUM,5304
Europe,CYPRUS,575
Europe,DENMARK,2838
Europe,ESTONIA,212
Europe,FINLAND,6573
Europe,FRANCE,56114
Europe,France,5800
Europe,Germany,3660
Europe,GERMANY,51738
Europe,GREECE,2864
Europe,HUNGARY,1391
Europe,ICELAND,345
Europe,IRELAND,1035
Europe,ITALY,209203
Europe,Italy,2354
Europe,LATVIA,635
Europe,LITHUANIA,101
Europe,LUXEMBOURG,641
Europe,MALTA,585
Europe,Netherlands,744
Europe,NETHERLANDS,5147
Europe,NORWAY,2951
Europe,POLAND,13498
Europe,PORTUGAL,443
Europe,ROMANIA,291
Europe,SAN MARINO,246
Europe,SLOVAKIA,3257
Europe,Spain,27086
Europe,SPAIN,97142
Europe,SWEDEN,12557
Europe,Sweden,2659
Europe,SWITZERLAND,937
Europe,UKRAINE,298
Europe,United Kingdom,6381
Europe,UNITED KINGDOM,41057
Americas,ANTIGUA AND BARBUDA,128
Americas,BAHAMAS,190
Americas,BARBADOS,224
Americas,CANADA,632
Americas,Canada,182555
Americas,COSTA RICA,104
Americas,JAMAICA,562
Americas,MEXICO,52997
Americas,Mexico,4086
Americas,PANAMA,1170
Americas,SAINT LUCIA,143
Americas,TRINIDAD AND TOBAGO,133
Oceania,Australia,8521
Oceania,AUSTRALIA,94381
Oceania,FIJI,107
Oceania,NEW ZEALAND,9296
Oceania,New Zealand,806
Americas,ARGENTINA,63279
Americas,BOLIVIA,186
Americas,BRAZIL,980
Americas,CHILE,102
Americas,COLOMBIA,9938
Americas,PARAGUAY,248
Asia,MACAO,273
Asia,TAIWAN,22404
Europe,NETHERLANDS,10266
Americas,BOLIVIA(PLURINATIONAL STATEOF),134
Europe,NETHERLANDS ANTILLES,891
Oceania,NEW CALEDONIA,182
Asia,HONG KONG,11309
Americas,SINT MAARTEN (DUTCH PART),213
Europe,RUSSIAN FEDERATION,5369
Oceania,BERMUDA,196
Asia,UNITED ARAB EMIRATES,193
Americas,ARUBA,747
Europe,UNITED KINGDOM OF GB AND NI,138011
Europe,FRENCH POLYNESIA,124
Asia,PHILIPPINES (THE),155
Americas,UNITED STATES,164
Asia,REPUBLIC OF KOREA ,211
Europe,CZECH REPUBLIC,1653
Americas,CURACAO,226
Americas,USA,245933
